topic,sub_topic,type,title,link,level
UX Design,Portfolio Building,Blog,UX Design Portfolio Tips [Adobe Blog],https://xd.adobe.com/ideas/process/ui-design/how-to-create-ux-portfolio/,Intermediate
UX Design,Case Studies,Video,UX Case Studies Explained [YouTube],https://www.youtube.com/watch?v=QnUDjHK6SL8,Advanced
UX Design,Case Studies,Blog,UX Case Study Example [UX Collective],https://uxdesign.cc/ux-case-study-how-we-re-designed-our-website-using-user-research-9cf63c19e781,Advanced
UX Design,Responsive Design,Video,Responsive UX Design [YouTube],https://www.youtube.com/watch?v=kjA1iGABc8Y,Intermediate
UX Design,Responsive Design,Blog,Responsive Web Design Basics [Google Web Dev],https://web.dev/learn/design/responsive-design/,Intermediate
UX Design,Human-Centered Design,Video,What is Human-Centered Design? [YouTube],https://www.youtube.com/watch?v=rrkrvAUbU9Y,Intermediate
UX Design,Human-Centered Design,Blog,Human-Centered Design Guide [IDEO],https://www.designkit.org/human-centered-design,Intermediate
Power BI,Introduction,Video,Power BI Full Course for Beginners [YouTube],https://www.youtube.com/watch?v=AGrl-H87pRU,Beginner
Power BI,Introduction,Blog,What is Power BI? [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/fundamentals/power-bi-overview,Beginner
Power BI,Data Import,Video,Importing Data into Power BI [YouTube],https://www.youtube.com/watch?v=3J4Dg-yG7S8,Beginner
Power BI,Data Import,Blog,Get Data in Power BI [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/connect-data/desktop-quickstart-connect-to-data,Beginner
Power BI,Data Transformation,Video,Power Query Basics in Power BI [YouTube],https://www.youtube.com/watch?v=1mO8lZl_T7w,Beginner
Power BI,Data Transformation,Blog,Shape and Combine Data [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/transform-model/desktop-shape-and-combine-data,Beginner
Power BI,Data Modeling,Video,Data Modeling in Power BI [YouTube],https://www.youtube.com/watch?v=AH3U6nU5z9M,Intermediate
Power BI,Data Modeling,Blog,Data Modeling Best Practices [Microsoft],https://learn.microsoft.com/en-us/power-bi/transform-model/desktop-data-modeling,Intermediate
Power BI,DAX,Video,DAX Basics in Power BI [YouTube],https://www.youtube.com/watch?v=tJc3ZlGs7q8,Intermediate
Power BI,DAX,Blog,Introduction to DAX [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/transform-model/desktop-quickstart-learn-dax-basics,Intermediate
Power BI,Visualization,Video,Creating Visualizations in Power BI [YouTube],https://www.youtube.com/watch?v=nkjegxT9xKk,Beginner
Power BI,Visualization,Blog,Visualizations in Power BI [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/visuals/power-bi-visualization-types-for-reports-and-q-and-a,Beginner
Power BI,Advanced Visualization,Video,Advanced Visualizations in Power BI [YouTube],https://www.youtube.com/watch?v=3VddOZXS6WU,Intermediate
Power BI,Advanced Visualization,Blog,Customize Visuals with Power BI [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/visuals/power-bi-custom-visuals,Intermediate
Power BI,Reports & Dashboards,Video,Build Reports and Dashboards [YouTube],https://www.youtube.com/watch?v=RtZpmF5D3dI,Intermediate
Power BI,Reports & Dashboards,Blog,Create a Dashboard [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/create-reports/service-create-dashboard,Intermediate
Power BI,Sharing Reports,Video,Sharing and Publishing Reports in Power BI [YouTube],https://www.youtube.com/watch?v=z4VHKXTjhZ0,Intermediate
Power BI,Sharing Reports,Blog,Share and Collaborate on Power BI Reports [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/collaborate-share/service-share-dashboards,Intermediate
Power BI,Power BI Service,Video,Introduction to Power BI Service [YouTube],https://www.youtube.com/watch?v=z3uQ7cGJj4Y,Beginner
Power BI,Power BI Service,Blog,Using Power BI Service [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/fundamentals/service-overview,Beginner
Power BI,Embedded Analytics,Video,Power BI Embedded Analytics Tutorial [YouTube],https://www.youtube.com/watch?v=DrGRle3NbS8,Advanced
Power BI,Embedded Analytics,Blog,Power BI Embedded Overview [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/developer/embedded/embedding-basic-concepts,Advanced
Power BI,Row-Level Security,Video,Row-Level Security in Power BI [YouTube],https://www.youtube.com/watch?v=PiRWaYwIVlM,Advanced
Power BI,Row-Level Security,Blog,Implement Row-Level Security [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/enterprise/service-admin-rls,Advanced
Power BI,Real-time Data,Video,Real-time Dashboard in Power BI [YouTube],https://www.youtube.com/watch?v=1uAIN5-N8gk,Advanced
Power BI,Real-time Data,Blog,Real-time Streaming Datasets [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/connect-data/service-real-time-streaming,Advanced
Power BI,Paginated Reports,Video,Paginated Reports in Power BI [YouTube],https://www.youtube.com/watch?v=qxGn8pYtBXw,Advanced
Power BI,Paginated Reports,Blog,Paginated Reports Overview [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/paginated-reports/paginated-reports-overview,Advanced
Power BI,Power BI vs Tableau,Video,Power BI vs Tableau [YouTube],https://www.youtube.com/watch?v=cDGFgfbJXZ0,Intermediate
Power BI,Power BI vs Tableau,Blog,Comparison between Power BI and Tableau [Simplilearn],https://www.simplilearn.com/power-bi-vs-tableau-article,Intermediate
Power BI,AI Insights,Video,AI in Power BI [YouTube],https://www.youtube.com/watch?v=y07XHtcwPa8,Advanced
Power BI,AI Insights,Blog,Use AI Insights in Power BI [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/transform-model/desktop-ai-insights,Advanced
Power BI,Power BI for Business,Video,Power BI for Business Analysis [YouTube],https://www.youtube.com/watch?v=3KtDH5G_A34,Beginner
Power BI,Power BI for Business,Blog,How Businesses Use Power BI [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/fundamentals/power-bi-business,Beginner
Tableau,Introduction,Video,Tableau Full Course for Beginners [YouTube],https://www.youtube.com/watch?v=TdTqzJdf-b8,Beginner
Tableau,Introduction,Blog,What is Tableau? [Tableau Official],https://www.tableau.com/learn/articles/what-is-tableau,Beginner
Tableau,Getting Started,Video,Getting Started with Tableau [YouTube],https://www.youtube.com/watch?v=Pe0hZ1GmBz8,Beginner
Tableau,Getting Started,Blog,Getting Started with Tableau [Official Guide],https://help.tableau.com/current/guides/get-started-tutorial/en-us/get-started-tutorial-home.htm,Beginner
Tableau,Data Import,Video,Import Data in Tableau [YouTube],https://www.youtube.com/watch?v=SezWx-wiSj8,Beginner
Tableau,Data Import,Blog,Connect to Data [Tableau Docs],https://help.tableau.com/current/pro/desktop/en-us/examples_otherdatabases.htm,Beginner
Tableau,Data Preparation,Video,Data Preparation in Tableau [YouTube],https://www.youtube.com/watch?v=WDrPq3NbS1A,Beginner
Tableau,Data Preparation,Blog,Data Preparation Overview [Tableau Docs],https://help.tableau.com/current/pro/desktop/en-us/data_preparing.htm,Beginner
Tableau,Data Visualization,Video,Data Visualization with Tableau [YouTube],https://www.youtube.com/watch?v=0MgNg5bWHtU,Beginner
Tableau,Data Visualization,Blog,Data Visualization Basics [Tableau Docs],https://help.tableau.com/current/pro/desktop/en-us/buildexamples_charts.htm,Beginner
Tableau,Dashboards,Video,Creating Dashboards in Tableau [YouTube],https://www.youtube.com/watch?v=1HzkwmoaJSA,Intermediate
Tableau,Dashboards,Blog,Build Dashboards and Stories [Tableau Docs],https://help.tableau.com/current/pro/desktop/en-us/dashboards.htm,Intermediate
Tableau,Data Blending,Video,Data Blending and Joins [YouTube],https://www.youtube.com/watch?v=7-7zyo9xORw,Intermediate
Tableau,Data Blending,Blog,Combine Data from Multiple Sources [Tableau Docs],https://help.tableau.com/current/pro/desktop/en-us/multiple_connections.htm,Intermediate
Tableau,Calculations,Video,Calculated Fields in Tableau [YouTube],https://www.youtube.com/watch?v=8K3opN0eZZ8,Intermediate
Tableau,Calculations,Blog,Calculated Fields and Functions [Tableau Docs],https://help.tableau.com/current/pro/desktop/en-us/calculations_calculatedfields.htm,Intermediate
Tableau,Filters,Video,Filters in Tableau [YouTube],https://www.youtube.com/watch?v=sdQUJMEVN6M,Beginner
Tableau,Filters,Blog,Types of Filters in Tableau [Tableau Blog],https://www.tableau.com/learn/articles/types-filters-tableau,Beginner
Tableau,Maps,Video,Geographical Maps in Tableau [YouTube],https://www.youtube.com/watch?v=4gS6KyHRDas,Intermediate
Tableau,Maps,Blog,Create Maps and Spatial Analysis [Tableau Docs],https://help.tableau.com/current/pro/desktop/en-us/maps.htm,Intermediate
Tableau,Advanced Visualizations,Video,Advanced Tableau Visualizations [YouTube],https://www.youtube.com/watch?v=5ZRMhXW1lg4,Advanced
Tableau,Advanced Visualizations,Blog,Advanced Charts in Tableau [Official Blog],https://www.tableau.com/about/blog/advanced-charts,Advanced
Tableau,Tableau Prep,Video,Introduction to Tableau Prep [YouTube],https://www.youtube.com/watch?v=VhZFYbK5tJU,Intermediate
Tableau,Tableau Prep,Blog,Tableau Prep Basics [Official Docs],https://help.tableau.com/current/prep/en-us/prep_get_started.htm,Intermediate
Tableau,Storytelling,Video,Data Storytelling in Tableau [YouTube],https://www.youtube.com/watch?v=4VRgZh9RvNw,Intermediate
Tableau,Storytelling,Blog,Building Stories in Tableau [Tableau Docs],https://help.tableau.com/current/pro/desktop/en-us/stories.htm,Intermediate
Tableau,Publishing & Sharing,Video,Publishing Tableau Dashboards [YouTube],https://www.youtube.com/watch?v=7su1Ji4Vluw,Intermediate
Tableau,Publishing & Sharing,Blog,Publishing Workbooks and Dashboards [Tableau Docs],https://help.tableau.com/current/pro/desktop/en-us/publish_workbooks.htm,Intermediate
Tableau,Security & Permissions,Video,Managing Tableau Permissions [YouTube],https://www.youtube.com/watch?v=k_pnacrTP2Q,Advanced
Tableau,Security & Permissions,Blog,User Access and Permissions [Tableau Docs],https://help.tableau.com/current/server/en-us/security_permissions.htm,Advanced
Tableau,Performance Optimization,Video,Optimize Tableau Dashboards [YouTube],https://www.youtube.com/watch?v=OVwOB1p5MN0,Advanced
Tableau,Performance Optimization,Blog,Improving Dashboard Performance [Tableau Docs],https://help.tableau.com/current/pro/desktop/en-us/performance_recording.htm,Advanced
Tableau,Tableau Online,Video,Introduction to Tableau Online [YouTube],https://www.youtube.com/watch?v=7nSUDV9sAdc,Beginner
Tableau,Tableau Online,Blog,What is Tableau Online [Tableau Docs],https://help.tableau.com/current/online/en-us/to_get_started.htm,Beginner
Tableau,Tableau vs Power BI,Video,Tableau vs Power BI [YouTube],https://www.youtube.com/watch?v=3CgW-yA4Bv8,Intermediate
Tableau,Tableau vs Power BI,Blog,Power BI vs Tableau Comparison [Simplilearn],https://www.simplilearn.com/power-bi-vs-tableau-article,Intermediate
Tableau,Extensions & API,Video,Tableau API and Extensions [YouTube],https://www.youtube.com/watch?v=wOfLTW1E58A,Advanced
Tableau,Extensions & API,Blog,Tableau API Developer Guide [Tableau Docs],https://help.tableau.com/current/api/api.htm,Advanced
Tableau,Tableau for Business,Video,Tableau for Business Intelligence [YouTube],https://www.youtube.com/watch?v=5v1QDE5h3wU,Beginner
Tableau,Tableau for Business,Blog,Tableau Use Cases in Business [Official Blog],https://www.tableau.com/solutions/business-intelligence,Beginner
Cooking,Introduction,Video,Cooking Basics for Beginners [YouTube],https://www.youtube.com/watch?v=PR_9G5xvN9o,Beginner
Cooking,Introduction,Blog,Cooking 101: Cooking Basics for Beginners [Blog],https://www.budgetbytes.com/category/how-to/cooking-basics/,Beginner
Cooking,Kitchen Essentials,Blog,Must-Have Kitchen Tools for Beginners [Blog],https://www.thekitchn.com/essential-kitchen-tools-22944085,Beginner
Cooking,Kitchen Essentials,Video,Essential Kitchen Tools for Cooking [YouTube],https://www.youtube.com/watch?v=JP94-vB2MSo,Beginner
Cooking,Knife Skills,Video,Knife Skills - Basic Cuts [YouTube],https://www.youtube.com/watch?v=COQ8fe4rrf8,Beginner
Cooking,Knife Skills,Blog,Knife Skills You Need to Know [Serious Eats],https://www.seriouseats.com/knife-skills,Beginner
Cooking,Safety and Hygiene,Video,Kitchen Safety and Hygiene Tips [YouTube],https://www.youtube.com/watch?v=5oH9Nr3bKfw,Beginner
Cooking,Safety and Hygiene,Blog,Food Safety and Hygiene [Healthline],https://www.healthline.com/nutrition/food-safety-tips,Beginner
Cooking,Vegetarian Recipes,Video,Easy Vegetarian Meals [YouTube],https://www.youtube.com/watch?v=El3IzFgsb8Q,Beginner
Cooking,Vegetarian Recipes,Blog,Quick Vegetarian Recipes [BBC Good Food],https://www.bbcgoodfood.com/recipes/collection/vegetarian,Beginner
Cooking,Indian Cuisine,Video,Indian Cooking Basics [YouTube],https://www.youtube.com/watch?v=OqCkZ9JYG1k,Intermediate
Cooking,Indian Cuisine,Blog,Indian Recipes for Beginners [Dassana's Veg Recipes],https://www.vegrecipesofindia.com/recipes/indian/,Intermediate
Cooking,Italian Cuisine,Video,How to Make Authentic Italian Pasta [YouTube],https://www.youtube.com/watch?v=cbZj4jD0xq8,Intermediate
Cooking,Italian Cuisine,Blog,Classic Italian Recipes [Delish],https://www.delish.com/cooking/g1956/classic-italian-recipes/,Intermediate
Cooking,Baking,Video,Baking Basics for Beginners [YouTube],https://www.youtube.com/watch?v=Sh06kxxzYC0,Beginner
Cooking,Baking,Blog,Baking 101: Everything You Need to Know [Sally's Baking Addiction],https://sallysbakingaddiction.com/baking-basics/,Beginner
Cooking,Bread Making,Video,How to Make Bread at Home [YouTube],https://www.youtube.com/watch?v=13Ah9ES2yTU,Intermediate
Cooking,Bread Making,Blog,Step-by-Step Bread Making Guide [King Arthur Baking],https://www.kingarthurbaking.com/learn/guides/bread-baking,Intermediate
Cooking,Desserts,Video,Easy Desserts for Beginners [YouTube],https://www.youtube.com/watch?v=p_jA6Mdx-VY,Beginner
Cooking,Desserts,Blog,Quick Dessert Recipes [AllRecipes],https://www.allrecipes.com/recipes/79/desserts/,Beginner
Cooking,Grilling,Video,Grilling Techniques for Beginners [YouTube],https://www.youtube.com/watch?v=xqU4ODz96eM,Intermediate
Cooking,Grilling,Blog,Grilling Tips and Tricks [Weber],https://www.weber.com/US/en/blog/grilling-tips-and-tricks/weber-30957.html,Intermediate
Cooking,Healthy Cooking,Video,Healthy Meal Prep Ideas [YouTube],https://www.youtube.com/watch?v=7M2wJQ5uQwE,Beginner
Cooking,Healthy Cooking,Blog,Healthy Recipes and Tips [EatingWell],https://www.eatingwell.com/recipes/,Beginner
Cooking,Meal Prep,Video,Meal Prep for the Week [YouTube],https://www.youtube.com/watch?v=WjXi5kqD-J4,Beginner
Cooking,Meal Prep,Blog,Meal Prep 101: Beginner's Guide [The Kitchn],https://www.thekitchn.com/collection/meal-prep,Beginner
Cooking,Soups and Stews,Video,Hearty Soups and Stews [YouTube],https://www.youtube.com/watch?v=pQrfjD91E3Q,Intermediate
Cooking,Soups and Stews,Blog,Best Soup and Stew Recipes [Food Network],https://www.foodnetwork.com/topics/soup-and-stew,Intermediate
Cooking,Advanced Techniques,Video,Advanced Cooking Techniques [YouTube],https://www.youtube.com/watch?v=uWlY9Z9Xt6A,Advanced
Cooking,Advanced Techniques,Blog,Mastering Advanced Cooking [The Spruce Eats],https://www.thespruceeats.com/advanced-cooking-techniques-4178409,Advanced
Cooking,World Cuisines,Video,Exploring World Cuisines [YouTube],https://www.youtube.com/watch?v=ZXApPhcJgKM,Intermediate
Cooking,World Cuisines,Blog,World Cuisine Recipes [AllRecipes],https://www.allrecipes.com/recipes/86/world-cuisine/,Intermediate
Cooking,Low Budget Meals,Video,Cheap Meals That Taste Amazing [YouTube],https://www.youtube.com/watch?v=I9ZwBhIR5wA,Beginner
Cooking,Low Budget Meals,Blog,Easy Low-Budget Recipes [BBC Good Food],https://www.bbcgoodfood.com/recipes/collection/budget-recipes,Beginner
Cooking,Kids Recipes,Video,Fun Cooking for Kids [YouTube],https://www.youtube.com/watch?v=Y8HzFvjKH_o,Beginner
Cooking,Kids Recipes,Blog,Easy Recipes to Cook with Kids [Taste of Home],https://www.tasteofhome.com/collection/kids-cooking-recipes/,Beginner
Cooking,Special Diets,Video,Vegan Cooking for Beginners [YouTube],https://www.youtube.com/watch?v=frZBh8CPv3c,Beginner
Cooking,Special Diets,Blog,Gluten-Free Recipes [Serious Eats],https://www.seriouseats.com/gluten-free,Beginner
Music,Introduction,Video,Music Theory for Beginners [YouTube],https://www.youtube.com/watch?v=V7wDoyvxJ5g,Beginner
Music,Introduction,Blog,Music Theory Basics [HelloMusicTheory],https://hellomusictheory.com/learn/music-theory/,Beginner
Music,Music Theory,Video,Music Theory Comprehensive Course [YouTube],https://www.youtube.com/watch?v=zn3FQ1SA5aA,Intermediate
Music,Music Theory,Blog,Understanding Music Theory [Musicians Institute],https://www.mi.edu/in-the-know/music-theory-guide/,Intermediate
Music,Instruments - Piano,Video,Piano Lessons for Beginners [YouTube],https://www.youtube.com/watch?v=vphWgqbF-AM,Beginner
Music,Instruments - Piano,Blog,Learn Piano Online [Piano Dreamers],https://www.pianodreamers.com/learn-piano-online/,Beginner
Music,Instruments - Guitar,Video,Guitar Lessons for Beginners [YouTube],https://www.youtube.com/watch?v=2U4U5BTBtRE,Beginner
Music,Instruments - Guitar,Blog,Learn to Play Guitar [Justin Guitar],https://www.justinguitar.com/,Beginner
Music,Instruments - Violin,Video,Violin Lessons for Beginners [YouTube],https://www.youtube.com/watch?v=K6V6JpSMeuk,Beginner
Music,Instruments - Violin,Blog,How to Learn Violin [TakeLessons],https://takelessons.com/blog/how-to-learn-violin-z08,Beginner
Music,Composition,Video,Songwriting for Beginners [YouTube],https://www.youtube.com/watch?v=YxTkvuxoQJg,Beginner
Music,Composition,Blog,How to Write Songs [SongFancy],https://songfancy.com/ultimate-songwriting-guide/,Beginner
Music,Music Production,Video,Music Production Basics [YouTube],https://www.youtube.com/watch?v=5Uj3r0TRw1g,Beginner
Music,Music Production,Blog,Music Production Guide [iZotope],https://www.izotope.com/en/learn/music-production.html,Beginner
Music,Sound Engineering,Video,Sound Engineering Tutorial [YouTube],https://www.youtube.com/watch?v=AXQ5p4uVZ9c,Intermediate
Music,Sound Engineering,Blog,Introduction to Sound Engineering [Sound on Sound],https://www.soundonsound.com/techniques/beginners-guide-audio-engineering,Intermediate
Music,Music Business,Video,Music Business 101 [YouTube],https://www.youtube.com/watch?v=ctNk6mAQ7-w,Intermediate
Music,Music Business,Blog,Music Business Essentials [Berklee Online],https://online.berklee.edu/courses/music-business-101,Intermediate
Music,Advanced Theory,Video,Advanced Music Theory [YouTube],https://www.youtube.com/watch?v=4zFz6Pa5p4g,Advanced
Music,Advanced Theory,Blog,Advanced Music Theory Lessons [Dolmetsch Online],http://www.dolmetsch.com/theoryintro.htm,Advanced
Music,Instruments - Drums,Video,Drum Lessons for Beginners [YouTube],https://www.youtube.com/watch?v=DW5mDNfjvIs,Beginner
Music,Instruments - Drums,Blog,Learn Drums Online [Drumeo],https://www.drumeo.com/,Beginner
Music,Vocal Training,Video,Vocal Warm-Ups and Training [YouTube],https://www.youtube.com/watch?v=dyzOeU-f_2I,Beginner
Music,Vocal Training,Blog,Learn Singing and Vocal Techniques [School of Rock],https://www.schoolofrock.com/resources/lessons/vocals,Beginner
Music,Music Genres - Jazz,Video,Learn Jazz Music Basics [YouTube],https://www.youtube.com/watch?v=F9d2zTfGZtU,Intermediate
Music,Music Genres - Jazz,Blog,Beginner's Guide to Jazz [JazzAdvice],https://www.jazzadvice.com/beginners-guide-to-jazz/,Intermediate
Music,Music Genres - Classical,Video,Classical Music Guide [YouTube],https://www.youtube.com/watch?v=73ZDvCbxhns,Beginner
Music,Music Genres - Classical,Blog,Introduction to Classical Music [Classic FM],https://www.classicfm.com/discover-music/periods-genres/classical/,Beginner
Music,Music Genres - Pop,Video,How to Make Pop Music [YouTube],https://www.youtube.com/watch?v=sRsLz2g-1ns,Intermediate
Music,Music Genres - Pop,Blog,Pop Music Songwriting [Music Industry How To],https://www.musicindustryhowto.com/how-to-write-a-pop-song/,Intermediate
Music,Music Technology - DAWs,Video,How to Use FL Studio [YouTube],https://www.youtube.com/watch?v=Rmz_rJZzjj8,Intermediate
Music,Music Technology - DAWs,Blog,Getting Started with DAWs [LANDR],https://blog.landr.com/best-daws/,Intermediate
Music,Music Software - Ableton,Video,Ableton Live for Beginners [YouTube],https://www.youtube.com/watch?v=ChQoFcLBZQ8,Intermediate
Music,Music Software - Ableton,Blog,Ableton Live Basics [Ableton],https://www.ableton.com/en/pages/education/education-resources/,Intermediate
Music,Music Therapy,Video,Music Therapy Explained [YouTube],https://www.youtube.com/watch?v=UsLpjznj-6w,Beginner
Music,Music Therapy,Blog,How Music Therapy Works [Verywell Mind],https://www.verywellmind.com/music-therapy-4178082,Beginner
Music,Music Careers,Video,Careers in Music Industry [YouTube],https://www.youtube.com/watch?v=FQaE5zvY4xk,Intermediate
Music,Music Careers,Blog,Music Career Paths [Berklee College of Music],https://online.berklee.edu/takenote/career-paths-in-music/,Intermediate
